og_s1,og_s2,new_s1,new_s2,og_label,new_label,remarks
"Analysts expected earnings of 27 cents a share on revenue of $17.7 billion, Thomson First Call says.","Hewlett-Packard is putting in for a second-quarter profit of $659 million, or 29 cents a share, on revenue of $18 billion.","Analysts expected earnings of 27 cents a share on revenue of $17.7 billion, Thomson First Call says.","Hewlett-Packard is putting in for a second-quarter profit of $659 million, or 29 cents a share, on revenue of $18 billion.",0,0,no need to correct
Hearing was partially restored by an electronic ear implant.,An electronic implant has helped Limbaugh regain most of his hearing.,Hearing was partially restored by an electronic ear implant.,An electronic implant has helped Limbaugh regain most of his hearing.,1,0,can't correct
Three no votes would kill it for now.,It would take three votes to kill the ACC's expansion.,Three no votes would kill it for now.,It would take three votes to kill the ACC's expansion.,1,0,can't correct
The German finance ministry on Monday said there was no case for softening.,"Finnish Finance Minister Antti Kalliomaki said: ""There is no room for a softening.""",The German finance ministry on Monday said there was no case for softening.,"Finnish Finance Minister Antti Kalliomaki said: ""There is no room for a softening.""",0,0,no need to correct
Massachusetts regulators and the Securities and Exchange Commission on Tuesday pressed securities fraud charges against Putnam Investments and two of its former portfolio managers for alleged improper mutual fund trading.,State and federal securities regulators filed civil charges against Putnam Investments and two portfolio managers in the ever-expanding mutual fund trading scandal.,Massachusetts regulators and the Securities and Exchange Commission on Tuesday pressed securities fraud charges against Putnam Investments and two of its former portfolio managers for alleged improper mutual fund trading.,State and federal securities regulators filed civil charges against Putnam Investments and two portfolio managers in the ever-expanding mutual fund trading scandal.,1,0,can't correct
Tehran has made clear it will only sign the Additional Protocol introducing such inspections if a ban on the import of civilian Western nuclear technology is lifted.,Tehran has made it clear it will only sign the protocol if a ban on imports of peaceful Western nuclear technology is lifted.,Tehran has made clear it will only sign the Additional Protocol introducing such inspections if a ban on the import of civilian Western nuclear technology is lifted.,Tehran has made it clear it will only sign the protocol if a ban on imports of peaceful Western nuclear technology is lifted.,1,0,can't correct
"""We are confident that this issue will be behind us by mid-year,"" said Nestle spokesman Francois Perroud, who declined to comment further.","""We are confident that this issue will be behind us by midyear,"" said Nestlé spokesman Francois Perroud.","""We are confident that this issue will be behind us by mid-year,"" said Nestle spokesman Francois Perroud, who declined to comment further.","""We are confident that this issue will be behind us by midyear,"" said Nestlé spokesman Francois Perroud.",0,0,no need to correct
"Selenski's partner in the jailbreak, Scott Bolton, injured his ankle, pelvis and ribs during the escape attempt, Warden Gene Fischi said.","Selenski's partner in the Friday jailbreak, Scott Bolton, was injured in the escape and hospitalized.","Selenski's partner in the jailbreak, Scott Bolton, injured his ankle, pelvis and ribs during the escape attempt, Warden Gene Fischi said.","Selenski's partner in the Friday jailbreak, Scott Bolton, was injured in the escape and hospitalized.",1,0,can't correct
"PLAYRIGHT George Axelrod, who anticipated the sexual revolution with The Seven Year Itch and Will Success Spoil Rock Hunter?","From Broadway comedies like ""The Seven Year Itch"" (1952), ""Will Success Spoil Rock Hunter?""","PLAYRIGHT George Axelrod, who anticipated the sexual revolution with The Seven Year Itch and Will Success Spoil Rock Hunter?","From Broadway comedies like ""The Seven Year Itch"" (1952), ""Will Success Spoil Rock Hunter?""",0,0,no need to correct
"Before Sunday, 19 firefighters assigned to wildfires had died on duty this year, according to Tracey Powers of the National Interagency Fire Center in Boise.","Before yesterday, 19 firefighters assigned to wildfires had died on duty this year, said Tracey Powers, spokeswoman for the National Interagency Fire Center in Boise.","Before yesterday, 19 firefighters assigned to wildfires had died on duty this year, according to Tracey Powers of the National Interagency Fire Center in Boise.","Before yesterday, 19 firefighters assigned to wildfires had died on duty this year, said Tracey Powers, spokeswoman for the National Interagency Fire Center in Boise.",1,1,corrected
"Before Sunday, 19 firefighters assigned to wildfires had died on duty this year, according to Tracey Powers of the National Interagency Fire Center in Boise.","Before yesterday, 19 firefighters assigned to wildfires had died on duty this year, said Tracey Powers, spokeswoman for the National Interagency Fire Center in Boise.","Before Sunday, 19 firefighters assigned to wildfires had died on duty this year, according to Tracey Powers of the National Interagency Fire Center in Boise.","Before Sunday, 19 firefighters assigned to wildfires had died on duty this year, said Tracey Powers, spokeswoman for the National Interagency Fire Center in Boise.",1,1,corrected
